   78  5      136.40
   18.100000 2052.125000  131.628500   .3123  126.151300      .93  32:13    32.23     1.63
   17.100000 2068.727000  131.469900   .2865  126.057100      .49  32:43    32.73     1.47
   16.600000 2077.028000  131.386000   .2757  126.010000      .50  33:13    33.23     1.39
   16.100000 2085.329000  131.306500   .2806  125.913100      .98  34:12    34.21     1.31
   15.100000 2101.930000  131.178100   .2838  125.719400      .10  34:18    34.31     1.18
   15.000000 2103.591000  131.167200   .2846  125.700000      .71  35: 0    35.02     1.17
   14.100000 2118.532000  131.048100   .4215  124.963600      .53  35:33    35.55     1.05
   13.100000 2135.134000  130.872500   .6173  124.145500      .13  35:40    35.68      .87
   12.800000 2140.115000  130.811300   .6850  123.900000      .30  35:58    35.98      .81
   12.100000 2151.736000  130.691500   .6247  123.744400      .48  36:27    36.45     1.22
   11.100000 2168.338000  130.566600   .5406  123.522200      .05  36:30    36.50     1.86
   11.000500 2169.990000  130.557000   .5346  123.500100      .00  36:30    36.50     1.93
   11.000000 2170.000000  130.557000   .5346  123.500000      .00  36:30    36.50     1.93
   10.999500 2170.010000  130.556900   .5346  123.499900      .48  36:59    36.99     1.93
   10.100000 2187.917000  130.474300   .4981  123.350000      .59  37:34    37.57     2.01
    9.100000 2207.825000  130.386900   .4486  123.183300      .66  38:14    38.24     2.10
    8.100000 2227.734000  130.302600   .3920  123.016700      .77  39: 0    39.00     2.20
    7.100000 2247.642000  130.219100   .3312  122.850000      .93  39:55    39.93     2.29
    6.100000 2267.550000  130.132600   .2692  122.683300     1.16  41: 5    41.09     2.39
    5.100000 2287.458000  130.035200   .2088  122.516700     1.03  42: 7    42.12     2.47
    4.400000 2301.394000  129.950900   .1687  122.400000      .49  42:36    42.62     2.51
    4.100000 2307.367000  129.909400   .1684  122.393000     1.65  44:15    44.27     2.48
    3.100000 2327.275000  129.755100   .1681  122.369800     1.65  45:54    45.91     2.34
    2.100000 2347.183000  129.568900   .1696  122.346500     1.61  47:31    47.52     2.18
    1.100000 2367.092000  129.331500   .1749  122.323300     1.52  49: 2    49.04     1.97
     .100000 2387.000000  129.150000   .1909  122.300000     1.52  50:33    50.56     1.81
   78  4      135.80
   62.000000 1810.000000  135.800000   .1788  122.600000     1.39   0: 0      .00     3.72
   61.100000 1810.179000  135.698700   .1818  122.972000     1.51   1:30     1.51     3.76
   60.100000 1810.378000  135.677300   .1857  123.385300     1.48   2:59     2.99     3.70
   59.100000 1810.577000  135.655900   .1902  123.798700     1.44   4:25     4.43     3.64
   58.100000 1810.776000  135.634200   .1955  124.212000     1.40   5:49     5.83     3.58
   57.100000 1810.975000  135.612200   .2018  124.625300     1.35   7:10     7.18     3.52
   56.100000 1811.174000  135.589400   .2093  125.038700     1.30   8:28     8.48     3.45
   55.100000 1811.373000  135.565500   .2183  125.452000     1.24   9:43     9.72     3.39
   54.100000 1811.572000  135.540000   .2290  125.865300     1.18  10:54    10.90     3.32
   53.100000 1811.771000  135.512600   .2421  126.278700     1.11  12: 0    12.01     3.26
   52.100000 1811.970000  135.482500   .2583  126.692000     1.03  13: 2    13.05     3.19
   51.100000 1812.169000  135.448500   .2787  127.105300      .95  13:59    14.00     3.11
   50.100000 1812.368000  135.408600   .3051  127.518700      .86  14:51    14.86     3.03
   49.100000 1812.567000  135.359100   .3406  127.932000      .76  15:36    15.62     2.94
   48.100000 1812.766000  135.293400   .3908  128.345300      .64  16:15    16.26     2.84
   47.100000 1812.965000  135.195300   .4721  128.758700      .06  16:19    16.32     2.70
   47.000000 1812.985000  135.183000   .4776  128.800000      .52  16:50    16.84     2.68
   46.100000 1813.164000  135.073500   .4834  128.728700      .57  17:24    17.41     2.71
   45.100000 1813.363000  134.952000   .4900  128.649400      .56  17:58    17.97     2.74
   44.100000 1813.562000  134.830700   .4968  128.570100      .56  18:31    18.53     2.77
   43.100000 1813.761000  134.709400   .5038  128.490900      .55  19: 4    19.08     2.80
   42.100000 1813.960000  134.588100   .5112  128.411600      .54  19:36    19.61     2.84
   41.100000 1814.159000  134.466800   .5188  128.332300      .53  20: 8    20.15     2.87
   40.100000 1814.358000  134.345200   .5268  128.253100      .52  20:40    20.67     2.90
   39.100000 1814.557000  134.223400   .5351  128.173800      .51  21:11    21.18     2.93
   38.100000 1814.756000  134.101300   .5440  128.094500      .51  21:41    21.69     2.96
   37.100000 1814.955000  133.978500   .5533  128.015200      .50  22:11    22.19     2.99
   36.100000 1815.154000  133.855000   .5633  127.936000      .49  22:40    22.68     3.02
   35.100000 1815.353000  133.730600   .5739  127.856700      .48  23: 9    23.16     3.04
   34.100000 1815.552000  133.604900   .5855  127.777400      .47  23:37    23.63     3.07
   33.100000 1815.751000  133.477700   .5981  127.698200      .46  24: 5    24.08     3.10
   32.100000 1815.950000  133.348600   .6120  127.618900      .45  24:31    24.53     3.12
   31.100000 1816.149000  133.216900   .6279  127.539600      .02  24:33    24.55     3.14
   31.050500 1816.159000  133.210400   .6283  127.535700      .00  24:33    24.55     3.14
   31.050000 1816.159000  133.210300   .6283  127.535700      .00  24:33    24.55     3.14
   31.049500 1816.159000  133.210200   .6283  127.535600      .20  24:45    24.75     3.14
   30.600000 1816.249000  133.150000   .6360  127.500000      .22  24:58    24.97     3.15
   30.100000 1816.348000  133.083500   .6214  127.443200      .46  25:25    25.43     3.08
   29.100000 1816.547000  132.951200   .5943  127.329500      .48  25:54    25.91     2.95
   28.100000 1816.746000  132.820100   .5693  127.215900      .50  26:24    26.41     2.82
   27.100000 1816.945000  132.690300   .5461  127.102300      .52  26:55    26.92     2.69
   26.100000 1817.144000  132.561700   .5246  126.988600      .54  27:27    27.46     2.56
   25.100000 1817.343000  132.434600   .5045  126.875000      .56  28: 1    28.03     2.43
   24.100000 1817.542000  132.309000   .4857  126.761400      .58  28:36    28.61     2.31
   23.100000 1817.741000  132.185200   .4679  126.647700      .60  29:12    29.21     2.19
   22.100000 1817.940000  132.063200   .4513  126.534100      .19  29:23    29.40     2.06
   21.800500 1818.000000  132.027100   .4462  126.500100      .00  29:23    29.40     2.03
   21.800000 1818.000000  132.027000   .4462  126.500000      .00  29:23    29.40     2.03
   21.799500 1818.006000  132.027000   .4462  126.500000      .45  29:51    29.85     2.03
   21.100000 1828.628000  131.940900   .4111  126.434000      .71  30:33    30.56     1.94
   20.100000 1843.813000  131.811000   .3686  126.339800      .79  31:21    31.36     1.81
   19.100000 1858.998000  131.671700   .3336  126.245600      .87  32:13    32.22     1.67
   18.100000 1874.183000  131.520700   .3053  126.151300      .94  33:10    33.17     1.52
   17.100000 1889.369000  131.353000   .2838  126.057100      .50  33:39    33.66     1.35
   16.600000 1896.961000  131.260000   .2760  126.010000      .50  34: 9    34.16     1.26
   16.100000 1904.554000  131.171100   .2835  125.913100      .97  35: 7    35.13     1.17
   15.100000 1919.739000  131.032800   .2891  125.719400      .10  35:13    35.23     1.03
   15.000000 1921.257000  131.021500   .2901  125.700000      .70  35:55    35.92     1.02
   14.100000 1934.924000  130.898600   .4273  124.963600      .53  36:27    36.46      .90
   13.100000 1950.109000  130.723500   .6167  124.145500      .13  36:35    36.58      .72
   12.800000 1954.665000  130.664200   .6806  123.900000      .30  36:53    36.88      .66
   12.100000 1965.294000  130.547700   .6148  123.744400      .49  37:22    37.37     1.08
